Algorithm,Size,InputType,Time(us)
BubbleSort,1000,Random,7247
BubbleSort,1000,Random,7120
BubbleSort,1000,Random,7338
BubbleSort,1000,Random,7675
BubbleSort,1000,Random,7787
BubbleSort,1000,Sorted,0
BubbleSort,1000,Sorted,0
BubbleSort,1000,Sorted,0
BubbleSort,1000,Sorted,0
BubbleSort,1000,Sorted,0
BubbleSort,1000,Reversed,13201
BubbleSort,1000,Reversed,11545
BubbleSort,1000,Reversed,14338
BubbleSort,1000,Reversed,10256
BubbleSort,1000,Reversed,9609
BubbleSort,10000,Random,739420
BubbleSort,10000,Random,738854
BubbleSort,10000,Random,743017
BubbleSort,10000,Random,776771
BubbleSort,10000,Random,746941
BubbleSort,10000,Sorted,1009
BubbleSort,10000,Sorted,0
BubbleSort,10000,Sorted,0
BubbleSort,10000,Sorted,0
BubbleSort,10000,Sorted,0
BubbleSort,10000,Reversed,1.05483e+006
BubbleSort,10000,Reversed,1.11546e+006
BubbleSort,10000,Reversed,1.04705e+006
BubbleSort,10000,Reversed,1.04172e+006
BubbleSort,10000,Reversed,1.21573e+006
InsertionSort,1000,Random,3035
InsertionSort,1000,Random,3054
InsertionSort,1000,Random,3344
InsertionSort,1000,Random,3999
InsertionSort,1000,Random,3001
InsertionSort,1000,Sorted,0
InsertionSort,1000,Sorted,0
InsertionSort,1000,Sorted,0
InsertionSort,1000,Sorted,0
InsertionSort,1000,Sorted,0
InsertionSort,1000,Reversed,6259
InsertionSort,1000,Reversed,5999
InsertionSort,1000,Reversed,6211
InsertionSort,1000,Reversed,6069
InsertionSort,1000,Reversed,5342
InsertionSort,10000,Random,277097
InsertionSort,10000,Random,273944
InsertionSort,10000,Random,280711
InsertionSort,10000,Random,289652
InsertionSort,10000,Random,273277
InsertionSort,10000,Sorted,0
InsertionSort,10000,Sorted,0
InsertionSort,10000,Sorted,0
InsertionSort,10000,Sorted,0
InsertionSort,10000,Sorted,0
InsertionSort,10000,Reversed,551592
InsertionSort,10000,Reversed,568447
InsertionSort,10000,Reversed,548422
InsertionSort,10000,Reversed,554062
InsertionSort,10000,Reversed,573809
MergeSort,1000,Random,1014
MergeSort,1000,Random,1012
MergeSort,1000,Random,1008
MergeSort,1000,Random,1006
MergeSort,1000,Random,1008
MergeSort,1000,Sorted,1048
MergeSort,1000,Sorted,1009
MergeSort,1000,Sorted,1443
MergeSort,1000,Sorted,1008
MergeSort,1000,Sorted,1059
MergeSort,1000,Reversed,1025
MergeSort,1000,Reversed,1008
MergeSort,1000,Reversed,1012
MergeSort,1000,Reversed,1008
MergeSort,1000,Reversed,1009
MergeSort,10000,Random,11003
MergeSort,10000,Random,11540
MergeSort,10000,Random,10787
MergeSort,10000,Random,11550
MergeSort,10000,Random,10135
MergeSort,10000,Sorted,8519
MergeSort,10000,Sorted,9590
MergeSort,10000,Sorted,9229
MergeSort,10000,Sorted,8447
MergeSort,10000,Sorted,9337
MergeSort,10000,Reversed,9002
MergeSort,10000,Reversed,8452
MergeSort,10000,Reversed,8703
MergeSort,10000,Reversed,10457
MergeSort,10000,Reversed,9178
MergeSort,100000,Random,117029
MergeSort,100000,Random,118746
MergeSort,100000,Random,122106
MergeSort,100000,Random,116106
MergeSort,100000,Random,121246
MergeSort,100000,Sorted,100672
MergeSort,100000,Sorted,103744
MergeSort,100000,Sorted,94370
MergeSort,100000,Sorted,92649
MergeSort,100000,Sorted,96132
MergeSort,100000,Reversed,94681
MergeSort,100000,Reversed,93682
MergeSort,100000,Reversed,94792
MergeSort,100000,Reversed,96667
MergeSort,100000,Reversed,93510
QuickSort,1000,Random,1049
QuickSort,1000,Random,0
QuickSort,1000,Random,0
QuickSort,1000,Random,1243
QuickSort,1000,Random,0
QuickSort,1000,Sorted,0
QuickSort,1000,Sorted,0
QuickSort,1000,Sorted,0
QuickSort,1000,Sorted,1005
QuickSort,1000,Sorted,0
QuickSort,1000,Reversed,1000
QuickSort,1000,Reversed,1000
QuickSort,1000,Reversed,994
QuickSort,1000,Reversed,1009
QuickSort,1000,Reversed,0
QuickSort,10000,Random,3250
QuickSort,10000,Random,4183
QuickSort,10000,Random,3145
QuickSort,10000,Random,3321
QuickSort,10000,Random,3032
QuickSort,10000,Sorted,3073
